ID,Name,EWG_ID,EWG,ScoreMin,ScoreMax,Description,Cancer,Allergies,Toxicity,Restriction
I_1026,GARCINIA INDICA SEED BUTTER,702543,1,1,1,Garcinia Indica Seed Butter is a fat obtained from the seeds of Garcinia indica.,LOW,LOW,LOW,LOW
I_1027,CINNAMIDOPROPYLTRIMONIUM CHLORIDE,701363,4,4,4,Cinnamidopropyltrimonium Chloride is a quaternary ammonium compound.,LOW,HIGH,LOW,LOW
I_1028,ZINC CHLORIDE,707061,2_6,2,6,"Zinc Chloride is an inorganic salt. In the United States, Zinc Chloride may be used as an active ingredient in OTC drug products. When used as an active drug ingredient, the established name is Zinc Chloride.",LOW,LOW,LOW,HIGH
I_1029,HYDROGENATED COTTONSEED OIL,719576,1_5,1,5,Hydrogenated Cottonseed Oil is an end product of controlled hydrogenation of cottonseed oil.,LOW,LOW,LOW,LOW
I_1030,DIGLYCERIN,701971,1,1,1,Diglycerin is a dimer of Glycerin (q.v.).,LOW,LOW,LOW,LOW
I_1031,ROSIN,705643,5_6,5,6,Rosin is a residue left after distilling off the volatile oil from the oleoresin obtained from Pinuspalustris and other species of Pinaceae.,LOW,MODERATE,LOW,HIGH
I_1032,CALCIUM PANTOTHENATE,700971,1,1,1,Calcium Pantothenate is a calcium salt of pantothenic acid.,LOW,LOW,LOW,LOW
I_1033,BAKUCHIOL,716846,1,1,1,,LOW,LOW,LOW,LOW
I_1034,DIMETHICONE/BIS ISOBUTYL PPG-20 CROSSPOLYMER,861858,1,1,1,,LOW,LOW,LOW,LOW
I_1035,CYMBOPOGON CITRATUS (LEMONGRASS) LEAF OIL,726643,1,1,1,,LOW,LOW,LOW,LOW
I_1036,FUMARIC ACID,702528,1,1,1,Fumaric Acid is a dicarboxylic acid.,LOW,LOW,LOW,LOW
I_1037,SODIUM BENZOTRIAZOLYL BUTYLPHENOL SULFONATE,705991,1,1,1,This UV light stabilization ingredient is part of a larger formulation and protects colors and other light-sensitive ingredients from photolytic and/or photo-oxidative degradation and thus improve the stability of formulations which are exposed to UV-A and UV-B light.,LOW,LOW,LOW,LOW
I_1038,COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,701525,4,4,4,Cocamidopropyl PG-Dimonium Chloride Phosphate is a quaternary ammonium salt.,LOW,HIGH,LOW,LOW
I_1039,PHENYLPROPYLDIMETHYLSILOXYSILICATE,704824,1,1,1,Phenylpropyldimethylsiloxysilicate is a siloxane polymer.,LOW,LOW,LOW,LOW
I_1040,ROSMARINUS OFFICINALIS (ROSEMARY) OIL EXTRACT,705662,1,1,1,Rosemary oil extract is produced from the Rosmarinus officinalis plant.,LOW,LOW,LOW,LOW
I_1041,AMMONIUM ACRYLATES COPOLYMER,700356,1_2,1,2,"Ammonium Acrylates Copolymer is an ammonium salt of a polymer of two or moremonomers consisting of acrylic acid, methacrylic acid or one of their simple esters.",LOW,LOW,LOW,LOW
I_1042,P-PHENYLENEDIAMINE,704389,10,10,10,p-Phenylenediamine is an ingredient widely used in hair dyes; associated with allergic reactions.,MODERATE,HIGH,LOW,HIGH
I_1043,UNSPECIFIED EXTRACTS,706781,4,4,4,,LOW,LOW,LOW,LOW
I_1044,AVENA SATIVA (OAT) KERNEL OIL,700583,1,1,1,"Avena Sativa (Oat) Kernel Oil is a fixed oil expressed from the kernels of the oat, Avenasativa.",LOW,LOW,LOW,LOW
I_1045,WHEAT AMINO ACIDS,724855,1,1,1,Wheat Amino Acids is a mixture of amino acids resulting from the complete hydrolysis ofwheat protein.,LOW,LOW,LOW,LOW
I_1046,COPPER GLUCONATE,701642,2,2,2,Copper Gluconate is a copper salt of gluconic acid.,LOW,LOW,LOW,LOW
I_1047,RHUS SUCCEDANEA (JAPANESE) FRUIT WAX,705554,1,1,1,Rhus Succedanea Fruit Wax is a wax obtained from the mesocarp of the fruit of Rhussuccedanea.,LOW,LOW,LOW,LOW
I_1048,ISOEICOSANE,703180,1,1,1,Isoeicosane is a branched chain aliphatic hydrocarbon with 20 carbons in the alkyl chain.,LOW,LOW,LOW,LOW
I_1049,POLYURETHANE-35,862606,1,1,1,,LOW,LOW,LOW,LOW
I_1050,P-AMINOPHENOL,704384,6,6,6,p-aminophenol is a synthetic dye used in hair coloring; produced from coal tar.,LOW,MODERATE,LOW,MODERATE
I_1051,LAURYL PEG/ PPG-18/ 18 METHICONE,703457,3,3,3,Lauryl PEG/PPG-18/18 Methicone is an alkoxylated derivative of Lauryl Methicone (q.v.)containing an average of 18 moles of ethylene oxide and 18 moles of propylene oxide.,LOW,LOW,LOW,LOW
I_1052,GERANIUM MACULATUM (SPOTTED CRANESBILL) EXTRACT,702571,1,1,1,Geranium Maculatum Extract is an extract of Geranium maculatum.,LOW,LOW,LOW,LOW
I_1053,HYDROGENATED OLIVE OIL UNSAPONIFIABLES,719608,1,1,1,Hydrogenated Olive Oil Unsaponifiables is an end-product of the controlled hydrogenation ofOlea Europea (Olive) Oil Unsaponifiables (q.v.).,LOW,LOW,LOW,LOW
I_1054,SODIUM LAURETH-12 SULFATE,723782,1_3,1,3,Sodium Laureth-12 Sulfate is a sodium salt of the sulfate ester of the polyethylene glycolether of lauryl alcohol.,LOW,LOW,LOW,LOW
I_1055,TREMELLA FUCIFORMIS (MUSHROOM) EXTRACT,724567,1,1,1,"Tremella Fuciformis (Mushroom) Extract is an extract of the mushroom, Tremella fuciformis.",LOW,LOW,LOW,LOW
I_1056,OCIMUM BASILICUM (SWEET BASIL) EXTRACT,704194,6,6,6,"Ocimum Basilicum (Basil) Extract is an extract of the flowers and leaves of the basil, Ocimumbasilicum.",MODERATE,HIGH,LOW,LOW
I_1057,OCIMUM BASILICUM (SWEET BASIL) OIL,704195,5,5,5,Ocimum Basilicum (Basil) Oil is a volatile oil obtained from Ocimum basilicum.,MODERATE,HIGH,LOW,LOW
I_1058,DIMETHYL ETHER,702052,2,2,2,,LOW,LOW,LOW,LOW
I_1059,MAGNESIUM ASPARTATE,703683,1,1,1,Magnesium Aspartate is a magnesium salt of Aspartic Acid (q.v.).,LOW,LOW,LOW,LOW
I_1060,SILK POWDER,705939,1,1,1,Silk Powder is a finely pulverized silk.,LOW,LOW,LOW,LOW
I_1061,SODIUM LAURATE,706088,1,1,1,Sodium Laurate is a sodium salt of lauric acid.,LOW,LOW,LOW,LOW
I_1062,DISODIUM LAURYL SULFOSUCCINATE,702150,1,1,1,Disodium Lauryl Sulfosuccinate is a disodium salt of a lauryl alcohol half ester ofsulfosuccinic acid.,LOW,LOW,LOW,LOW
I_1063,BIS-PEG-18 METHYL ETHER DIMETHYL SILANE,717001,3,3,3,Bis-PEG-18 Methyl Ether Dimethyl Silane is a dimethyl silane ethoxylated methyl diethercontaining an average of 36 moles of ethylene oxide.,LOW,LOW,LOW,LOW
I_1064,ROSA CENTIFOLIA (CABBAGE ROSE) FLOWER WATER,705591,1,1,1,"Rosa Centifolia Flower Water is an aqueous solution of the steam distillate obtained from theflowers of the rose, Rosa centifolia.",LOW,LOW,LOW,LOW
I_1065,SODIUM TRIDECETH SULFATE,706204,1,1,1,Sodium Trideceth Sulfate is a sodium salt of sulfated ethoxylated Tridecyl Alcohol (q.v.).,LOW,LOW,LOW,LOW
I_1066,LAURETH-9,720265,1_3,1,3,Laureth-9 is a polyethylene glycol ether of Lauryl Alcohol (q.v.).,LOW,LOW,LOW,LOW
I_1067,LITSEA CUBEBA (MAY CHANG) OIL,703608,2,2,2,Litsea Cubeba Fruit Oil is a volatile oil obtained from the berries of Litsea cubeba.,LOW,MODERATE,LOW,LOW
I_1068,SODIUM HYALURONATE CROSSPOLYMER,723755,1,1,1,Sodium Hyaluronate Crosspolymer is a polymer of Hyaluronic Acid (q.v.) crosslinked with vinylsulfone.,LOW,LOW,LOW,LOW
I_1069,HYDROGENATED PALM GLYCERIDES CITRATE,707102,1,1,1,Hydrogenated Palm Glycerides Citrate is a citric acid ester of Hydrogenated PalmGlycerides (q.v.).,LOW,LOW,LOW,LOW
I_1070,ETHYL LINOLEATE,702302,1,1,1,Ethyl Linoleate is an ester of ethyl alcohol and linoleic acid.,LOW,LOW,LOW,LOW
I_1071,POLYQUATERNIUM-4,705115,1,1,1,Polyquaternium-4 is a copolymer of hydroxyethylcellulose and diallyldimethyl ammoniumchloride.,LOW,LOW,LOW,LOW
I_1072,SYNTHETIC JAPAN WAX,706411,1,1,1,Synthetic Japan Wax is a synthetic wax intended to be generally indistinguishable from naturalJapan Wax (q.v.) with regard to chemical composition and physical properties.,LOW,LOW,LOW,LOW
I_1073,CALENDULA OFFICINALIS (POT MARIGOLD) FLOWER OIL,700991,1,1,1,Calendula Officinalis Flower Oil is an oil derived from the flowers of Calendula officinalis.,LOW,LOW,LOW,LOW
I_1074,COLLAGEN,701608,1,1,1,Collagen is a protein found in cartilage and other connective tissues; it is listed in the PETA's Caring Consumer guide as an animal-sourced ingredient.,LOW,LOW,LOW,LOW
I_1075,HYDROLYZED ALGIN,702972,1,1,1,"Hydrolyzed Algin is a hydrolysate of Algin (q.v). derived by acid, enzyme or other method ofhydrolysis.",LOW,LOW,LOW,LOW
I_1076,HYDROLYZED MILK PROTEIN,703001,1,1,1,"Hydrolyzed Milk Protein is a hydrolysate of milk protein derived by acid, enzyme or othermethod of hydrolysis.",LOW,LOW,LOW,LOW
I_1077,POTASSIUM PHOSPHATE,705223,1,1,1,Potassium Phosphate is an inorganic salt.,LOW,LOW,LOW,LOW
I_1078,PALMITOYL TRIPEPTIDE-38,861943,1,1,1,,LOW,LOW,LOW,LOW
I_1079,SODIUM MYRISTOYL GLUTAMATE,706138,1,1,1,Sodium Myristoyl Glutamate is a sodium salt of the myristic acid amide of glutamic acid.,LOW,LOW,LOW,LOW
I_1080,EPILOBIUM ANGUSTIFOLIUM (WILLOW HERB) EXTRACT,702258,1,1,1,Epilobium Angustifolium Extract is an extract of the aerial parts of Epilobium angustifolium.,LOW,LOW,LOW,LOW
I_1081,PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHE NYL DIMER DILINOLEATE,722205,1,1,1,"Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate is the ester of Dilinoleic Acid(q.v.) with a mixture of Phytosterols (q.v.), Isostearyl Alcohol (q.v.), Cetyl Alcohol (q.v.), Stearyl Alcohol (q.v.) and Behenyl Alcohol (q.v.)",LOW,LOW,LOW,LOW
I_1082,POLYGLYCERYL-3 STEARATE,722484,1,1,1,Polyglyceryl-3 Stearate is an ester of stearic acid and Polyglycerin-3 (q.v.).,LOW,LOW,LOW,LOW
I_1083,METHYL SALICYLATE,703914,5_8,5,8,"Methyl salicylate is an anti-inflammatory ingredient common in pain relief creams for muscles and joints. Although the U.S. cosmetic industry's safety panel (Cosmetic Ingredient Review) considers this ingredient safe in products formulated to avoid irritation, a consumer's death in 2007 was linked to excessive exposure to a sports cream containing this chemical. In response, the manufacturer urged consumers to follow the directions for this over-the-counter drug.",LOW,HIGH,LOW,HIGH
I_1084,POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE,705031,1,1,1,Polyglyceryl-3 Methylglucose Distearate is a diester of stearic acid and the condensationproduct of methylglucose and Polyglycerin-3 (q.v.).,LOW,LOW,LOW,LOW
I_1085,POPULUS TREMULOIDES BARK EXTRACT,722643,4_8,4,8,"Populus Tremuloides Bark Extract is an extract of the bark of the aspen, Populus tremuloides.",LOW,LOW,LOW,HIGH
I_1086,D-GLUCO-D-MANNAN,756927,1,1,1,,LOW,LOW,LOW,LOW
I_1087,PLANKTON EXTRACT,704920,1,1,1,"Plankton Extract is an extract of marine biomass which includes one or more of the followingorganisms: Thalassoplankton, green micro-algae, diatoms, greenish-blue and nitrogen-fixing seaweed.",LOW,LOW,LOW,LOW
I_1088,CAMELLIA JAPONICA SEED OIL,717393,1,1,1,Camellia Japonica Seed Oil is a fixed oil obtained from the seeds of Camellia japonica.,LOW,LOW,LOW,LOW
I_1089,SERENOA SERRULATA FRUIT EXTRACT,723522,1,1,1,"Serenoa Serrulata Fruit Extract is an extract of the fruit of the saw palmetto, Serenoaserrulata.",LOW,LOW,LOW,LOW
I_1090,COCOGLYCERIDES,701549,1,1,1,"Cocoglycerides is a mixture of mono, di and triglycerides derived from coconut oil.",LOW,LOW,LOW,LOW
I_1091,COCCINIA INDICA FRUIT EXTRACT,718003,1,1,1,Coccinia Indica Fruit Extract is an extract of the fruit of Coccinia indica.,LOW,LOW,LOW,LOW
I_1092,ISOCETYL STEARATE,703170,1,1,1,Isocetyl Stearate is an ester of Isocetyl Alcohol (q.v.) and stearic acid.,LOW,LOW,LOW,LOW
I_1093,LINOLEAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,703576,4,4,4,Linoleamidopropyl PG-Dimonium Chloride Phosphate is a quaternary ammonium salt.,LOW,HIGH,LOW,LOW
I_1094,GLUCOSAMINE HCL,702596,1,1,1,Glucosamine HCl is an amine salt.,LOW,LOW,LOW,LOW
I_1095,RHUS VERNICIFLUA PEEL WAX,723283,1,1,1,Rhus Verniciflua Peel Wax is a wax obtained from the peel of the fruit of Rhus verniciflua.,LOW,LOW,LOW,LOW
I_1096,OLEANOLIC ACID,704269,1,1,1,,LOW,LOW,LOW,LOW
I_1097,PEG-4 RAPESEEDAMIDE,704592,1_3,1,3,PEG-4 Rapeseedamide is a polyethylene glycol amide of the fatty acids derived fromrapeseed oil with an average of 4 moles of ethylene oxide.,LOW,LOW,LOW,LOW
I_1098,SCHINZIOPHYTON RAUTANENII KERNEL OIL,729851,1,1,1,,LOW,LOW,LOW,LOW
I_1099,PEG-400,704603,3,3,3,PEG-400 is a polymer of ethylene oxide.,LOW,LOW,LOW,LOW
I_1100,CERATONIA SILIQUA (CAROB) GUM,701210,1,1,1,"Ceratonia Siliqua Gum is a ground seed of the ripe fruit of St. Johns Bread, Ceratoniasiliqua.",LOW,LOW,LOW,LOW
I_1101,ISOSTEARYL PALMITATE,703241,1,1,1,Isostearyl Palmitate is an ester of Isostearyl Alcohol (q.v.) and palmitic acid.,LOW,LOW,LOW,LOW
I_1102,PIROCTONE OLAMINE,704914,1_2,1,2,Piroctone Olamine is an amine salt.,LOW,LOW,LOW,MODERATE
I_1103,C30-45 ALKYLDIMETHYLSILYL PROPYLSILSEQUIOXANE,861879,1,1,1,,LOW,LOW,LOW,LOW
I_1104,BENZYL CINNAMATE,700699,3_4,3,4,Benzyl Cinnamate is an ester of benzyl alcohol and cinnamic acid.,LOW,HIGH,LOW,MODERATE
I_1105,PANTOLACTONE,704441,1,1,1,,LOW,LOW,LOW,LOW
I_1106,SORBITAN PALMITATE,706232,1,1,1,Sorbitan Palmitate is a monoester of palmitic acid and hexitol anhydrides derived fromsorbitol.,LOW,LOW,LOW,LOW
I_1107,TRIISOSTEARIN,706668,1,1,1,Triisostearin is a triester of glycerin and Isostearic Acid (q.v.).,LOW,LOW,LOW,LOW
I_1108,POLYACRYLATE-13,726719,1_2,1,2,,LOW,LOW,LOW,MODERATE
I_1109,CHLORHEXIDINE DIHYDROCHLORIDE,701319,4,4,4,Chlorhexidine is a synthetic preservative and antiseptic.,LOW,MODERATE,LOW,MODERATE
I_1110,DISODIUM PYROPHOSPHATE,702162,1,1,1,Disodium Pyrophosphate is an inorganic salt.,LOW,LOW,LOW,LOW
I_1111,HYDROGENATED PALM GLYCERIDES,702936,1,1,1,Hydrogenated Palm Glycerides is an end product of controlled hydrogenation of Palm OilGlycerides (q.v.).,LOW,LOW,LOW,LOW
I_1112,ISOPENTANE,703191,2_3,2,3,Isopentane is a hydrocarbon.,LOW,MODERATE,LOW,LOW
I_1113,ALUMINUM CHLOROHYDRATE,700313,2_3,2,3,"Aluminum Chlorohydrate is a complex inorganic salt that consists of complex basic aluminumchloride described empirically as: This complex is polymeric, loosely hydrated and encompasses a range of aluminum to chlorideratios from 2.1 down to but not including 1.9 to 1. In the United States, Aluminum Chlorohydrate may be used as an active ingredient in OTC drug products. When us ed as an active drug ingredient, the established name is Aluminum Chlorohydrate.",LOW,LOW,LOW,MODERATE
I_1114,SACCHAROMYCES/ ZINC FERMENT,705740,1_3,1,3,Saccharomyces/Zinc Ferment is an extract of a fermentation product of saccharomyces in thepresence of zinc ions.,LOW,LOW,LOW,MODERATE
I_1115,BHA,700740,5_6,5,6,"BHA (butylated hydroxyanisole) is a preservative and stabilizer; U.S. National Toxicology Program, a part of the National Institutes of Health, has classified BHA as &quot;reasonably anticipated to be a human carcinogen&quot; based on evidence of carcinogenicity in experimental animals.",MODERATE,MODERATE,LOW,LOW
I_1116,CITRULLUS LANATUS SEED OIL,729185,1,1,1,,LOW,LOW,LOW,LOW
I_1117,DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE,702106,1,1,1,Dipentaerythrityl Hexahydroxystearate is a hexaester of stearic acid and a dimer ofpentaerythritol.,LOW,LOW,LOW,LOW
I_1118,PEG-4 LAURATE,721709,2_4,2,4,PEG-4 Laurate is a polyethylene glycol ester of lauric acid.,LOW,MODERATE,LOW,LOW
I_1119,MELON FRUIT EXTRACT,703820,1,1,1,"Cucumis Melo (Melon) Fruit Extract is an extract of the fruit of the melon, Cucumis melo.",LOW,LOW,LOW,LOW
I_1120,EUCALYPTOL,702358,2,2,2,Eucalyptol is an organic compound. It is a chief component of Eucalyptus Oil (q.v.).,LOW,MODERATE,LOW,LOW
I_1121,ZINC CITRATE,724916,1_4,1,4,Zinc Citrate is a zinc salt of citric acid.,LOW,LOW,LOW,HIGH
I_1122,SORBITAN OLEATE DECYLGLUCOSIDE CROSSPOLYMER,862526,1,1,1,,LOW,LOW,LOW,LOW
I_1123,MYRISTYL LACTATE,704066,1_4,1,4,Myristyl Lactate is an ester of myristyl alcohol and lactic acid.,LOW,LOW,LOW,HIGH
I_1124,DIPENTAERYTHRITYL HEXA C5-9 ACID ESTERS,718641,1,1,1,Dipentaerythrityl Hexa C5-9 Acid Esters is a hexaester of linear and branched C5-9 acidswith a dimer of Pentaerythritol (q.v.).,LOW,LOW,LOW,LOW
I_1125,BEHENIC ACID,700652,1,1,1,Behenic Acid is a fatty acid.,LOW,LOW,LOW,LOW
I_1126,CENTAUREA CYANUS (CORNFLOWER) FLOWER EXTRACT,701661,1,1,1,"Centaurea Cyanus Flower Extract is an extract of the flowers of the cornflower, Centaureacyanus.",LOW,LOW,LOW,LOW
I_1127,ETHYL OLEATE,702309,1,1,1,Ethyl Oleate is an ester of ethyl alcohol and oleic acid.,LOW,LOW,LOW,LOW
I_1128,SODIUM OLEATE,706143,1,1,1,Sodium Oleate is a sodium salt of oleic acid.,LOW,LOW,LOW,LOW
I_1129,ACTINIDIA CHINENSIS (KIWI) EXTRACT,700172,1,1,1,"Actinidia Chinensis (Kiwi) Fruit Extract is an extract of the fruit of the kiwi, Actinidia chinensis.",LOW,LOW,LOW,LOW
I_1130,POLYGLYCERYL-3 BEESWAX,722471,1,1,1,Polyglyceryl-3 Beeswax is an ester of beeswax fatty acids and Polyglycerin-3 (q.v).,LOW,LOW,LOW,LOW
I_1131,DIPALMITOYL HYDROXYPROLINE,702101,1,1,1,Dipalmitoyl Hydroxyproline is a substituted amino acid.,LOW,LOW,LOW,LOW
I_1132,ACETONE,700081,3,3,3,Acetone is an aliphatic ketone.,LOW,LOW,LOW,LOW
I_1133,CINNAMONUM CASSIA (CINNAMON) BARK EXTRACT,701370,3,3,3,"Cinnamomum Cassia Bark Extract is an extract of the dried bark of the cinnamon, Cinnamomum cassia.",LOW,HIGH,LOW,LOW
I_1134,THYMOL,706538,1_4,1,4,Thymol is a substituted phenol.,LOW,LOW,LOW,MODERATE
I_1135,TRIPHENYL PHOSPHATE,706709,5,5,5,,LOW,LOW,MODERATE,LOW
I_1136,SODIUM CETEARYL SULFATE,706022,1,1,1,Sodium Cetearyl Sulfate is a sodium salt of a mixture of cetyl and stearyl sulfate.,LOW,LOW,LOW,LOW
I_1137,JUGLANS REGIA (PERSIAN WALNUT) SHELL POWDER,703289,1,1,1,"Juglans Regia (Walnut) Shell Powder is a powder of the ground shells of the walnut, Juglansregia.",LOW,LOW,LOW,LOW
I_1138,KERATIN,703313,1_2,1,2,"Keratin is a protein derived from hair, wool, horn, nails or other similar tissues in animals.",LOW,LOW,LOW,MODERATE
I_1139,STEARETH-100,724149,1_3,1,3,Steareth-100 is a polyethylene glycol ether of Stearyl Alcohol (q.v.).,LOW,LOW,LOW,LOW
I_1140,GLYCINE SOJA (SOYBEAN) STEROLS,702687,1,1,1,"Glycine Soja (Soybean) Sterols is a mixture of phytosterols obtained from the soybean, Glycine Soya.",LOW,LOW,LOW,LOW
I_1141,SACCHAROMYCES/ FERMENT,705722,1,1,1,Saccharomyces Ferment is a product obtained by the fermentation of Saccharomyces.,LOW,LOW,LOW,LOW
I_1142,ILLITE,719849,1,1,1,Illite refers to a group of clay sized micas that have a higher lattice water content and lowerpotassium content than mica.,LOW,LOW,LOW,LOW
I_1143,JUNIPERUS COMMUNIS (JUNIPER) FRUIT OIL,720072,1,1,1,Juniperus Communis Fruit Oil is a volatile oil obtained from the berries of Juniperuscommunis.,LOW,LOW,LOW,LOW
I_1144,SACCHAROMYCES/ IRON FERMENT,705725,2,2,2,Saccharomyces/Iron Ferment is an extract of a fermentation proudct of saccharomyces in thepresence of iron ions.,LOW,LOW,LOW,LOW
I_1145,TRIDECYL STEARATE,706635,1,1,1,Tridecyl Stearate is an ester of Tridecyl Alcohol (q.v.) and stearic acid.,LOW,LOW,LOW,LOW
I_1146,DEAD SEA SALT,701872,1,1,1,,LOW,LOW,LOW,LOW
I_1147,METHYL GLUCETH-10,703894,1,1,1,Methyl Gluceth-20 is a polyethylene glycol ether of methyl glucose.,LOW,LOW,LOW,LOW
I_1148,SACCHAROMYCES/ MAGNESIUM FERMENT,705729,1,1,1,Saccharomyces/Magnesium Ferment is an extract of a fermentation product ofsaccharomyces in the presence of magnesium ions.,LOW,LOW,LOW,LOW
I_1149,UNDARIA PINNATIFIDA EXTRACT,724740,1,1,1,"Undaria Pinnatifida Extract is an extract of the alga, Undaria pinnatifida.",LOW,LOW,LOW,LOW
I_1150,TRIDECETH-3,724597,1,1,1,Trideceth-3 is a polyethylene glycol ether of Tridecyl Alcohol (q.v.).,LOW,LOW,LOW,LOW
I_1151,PEG-10 PHYTOSTEROL,721371,3,3,3,PEG-10 Phytosterol is a polethylene glycol ether of Phytosterols (q.v.) with an averageethoxyloation value of 10.,LOW,LOW,LOW,LOW
I_1152,DIMETHICONE CROSSPOLYMER-3,702029,1,1,1,Dimethicone Crosspolymer-3 is a siloxane polymer.,LOW,LOW,LOW,LOW
I_1153,D&C ORANGE 5 (CI 45370) LAKE,701781,4_5,4,5,,LOW,LOW,LOW,HIGH
I_1154,NYLON-6,720994,1,1,1,Nylon-6 is a polyamide.,LOW,LOW,LOW,LOW
I_1155,COCAMIDOPROPYLAMINE OXIDE,701528,1,1,1,Cocamidopropylamine Oxide is a tertiary amine oxide.,LOW,LOW,LOW,LOW
I_1156,TRICONTANYL PVP,706624,1,1,1,Tricontanyl PVP is a polymer of vinyl pyrrolidone and 1-triacontane.,LOW,LOW,LOW,LOW
I_1157,HIBISCUS ROSA-SINENSIS (CHINESE HIBISCUS) EXTRACT,702851,1,1,1,"Hibiscus Rosa-Sinensis Extract is an extract of the flowers and leaves of the Chinesehibiscus, Hibiscus rosa-sinensis.",LOW,LOW,LOW,LOW
I_1158,PROPOLIS EXTRACT,705309,1,1,1,Propolis Extract is an extract of Propolis Wax (q.v.).,LOW,LOW,LOW,LOW
I_1159,DISILOXANE,702127,2,2,2,Disiloxane is a linear siloxane.,LOW,LOW,LOW,LOW
I_1160,DIAMOND POWDER,701921,1,1,1,Diamond Powder is a crystallized modification of carbon.,LOW,LOW,LOW,LOW
I_1161,HYDROGENATED DIDECENE,702924,1,1,1,Hydrogenated Didecene is an end product of the controlled hydrogenation of Didecene (q.v.).,LOW,LOW,LOW,LOW
I_1162,NIACIN,704133,1,1,1,Niacin is a heterocyclic aromatic compound.,LOW,LOW,LOW,LOW
I_1163,SACCHAROMYCES/ SILICON FERMENT,705736,1,1,1,Saccharomyces/Silicon Ferment is an extract of a fermentation product of saccharomyces inthe presence of silicon.,LOW,LOW,LOW,LOW
I_1164,PVM/ MA COPOLYMER,705417,1,1,1,PVM/MA Copolymer is a copolymer of methyl vinyl ether and maleic anhydride.,LOW,LOW,LOW,LOW
I_1165,PEG-8 DIMETHICONE,704663,3,3,3,PEG-8 Dimethicone is a polyethylene glycol derivative of Dimethicone (q.v.) containing anaverage of 8 moles of ethylene oxide.,LOW,LOW,LOW,LOW
I_1166,HYDRASTIS CANADENSIS (GOLDENSEAL) ROOT EXTRACT,702897,1,1,1,"Hydrastis Canadensis (Golden Seal) Root Extract is an extract of the roots of the golden seal, Hydrastis canadensis.",LOW,LOW,LOW,LOW
I_1167,LANOLIN ALCOHOL,703388,2,2,2,"Lanolin Alcohol is a mixture of organic alcohols obtained from the hydrolysis of lanolin, a derivative of the fat-like sebaceous secretion of sheep. This ingredient is listed in the PETA's Caring Consumer guide as an animal-sourced product.",LOW,MODERATE,LOW,LOW
I_1168,ISOBUTYL METHACRYLATE/BIS-HYDROXYPROPYL DIMETHICONE ACRYLATE,729514,1,1,1,,LOW,LOW,LOW,LOW
I_1169,BEHENYL BEHENATE,700660,1,1,1,Behenyl Behenate is an ester of Behenic Acid (q.v.) and Behenyl Alcohol (q.v.).,LOW,LOW,LOW,LOW
I_1170,SODIUM LAURYL GLUCOSE CARBOXYLATE,706106,1,1,1,,LOW,LOW,LOW,LOW
I_1171,THYMUS VULGARIS (COMMON THYME) OIL,706546,1,1,1,Thymus Vulgaris (Thyme) Oil is a volatile oil obtained from the leaves and flowers of Thymus vulgaris.,LOW,LOW,LOW,LOW
I_1172,CERAMIDE,701201,1,1,1,,LOW,LOW,LOW,LOW
I_1173,FERULIC ACID,702470,1_2,1,2,,LOW,LOW,LOW,MODERATE
I_1174,VA CROTONATES/ VINYL NEODECANOATE COPOLYMER,706807,1,1,1,"VA/Crotonates/Vinyl Neodecanoate Copolymer is a polymer formed from vinyl acetate, crotonic acid and vinyl neodecanoate monomers.",LOW,LOW,LOW,LOW
I_1175,CAPRYLIC/ CAPRIC GLYCERIDES,701055,1,1,1,"Caprylic/Capric Glycerides is a mixture of mono, di and triglycerides of caprylic and capricacids.",LOW,LOW,LOW,LOW
I_1176,DICETYL PHOSPHATE,701950,1,1,1,Dicetyl Phosphate is a complex mixture of diesters of cetyl alcohol and phosphoric acid.,LOW,LOW,LOW,LOW
I_1177,HEDYCHIUM CORONARIUM (BUTTERFLY GINGER) ROOT EXTRACT,702800,1,1,1,"Hedychium Coronarium Root Extract is an extract of the roots of Hawaiian white ginger, Hedycium coronarium.",LOW,LOW,LOW,LOW
I_1178,PPG-15 STEARYL ETHER,722835,1,1,1,PPG-15 Stearyl Ether is a polypropylene glycol ether of stearyl alcohol.,LOW,LOW,LOW,LOW
I_1179,ROSE EXTRACT,723338,3,3,3,"Rose Extract is an extract of various species of rose, Rosa spp.",LOW,HIGH,LOW,LOW
I_1180,ALOE BARBADENSIS (ALOE VERA) FLOWER EXTRACT,700268,1_3,1,3,"This ingredient is extracted from the flowers of the aloe plant, Aloe barbadensis",MODERATE,LOW,LOW,LOW
I_1181,DIMETHICONE PEG-8 MEADOWFOAMATE,702034,3,3,3,Dimethicone PEG-8 Meadowfoamate is a partial ester of PEG-8 Dimethicone (q.v.) and thefatty acids derived from meadowfoam seed oil.,LOW,LOW,LOW,LOW
I_1182,HYPNEA MUSCIFORMIS (HYPNEACEAE) EXTRACT,703105,1,1,1,"Hypnea Musciformis Extract is an extract of the red alga, Hypnea musciformis.",LOW,LOW,LOW,LOW
